id,city,country,region,short_description,latitude,longitude,ideal_durations,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,safety,best_months
f4bc5867-53ea-4830-88f0-9f1e8b079dba,Rome,Italy,Europe,"A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",41.902782,12.496366,"[""Short trip"",""One week""]",Mid-range,5,3,3,2,4,5,3,5,2,"Generally safe, but watch out for pickpockets","4,5,9,10"
29770047-59c4-4376-bc5e-afc3a22bb3b7,Florence,Italy,Europe,"Home to world-class museums, including the Uffizi Gallery and Michelangelo?s David.",43.769581,11.255772,"[""Weekend"",""One week"",""Short trip""]",Mid-range,5,2,3,1,3,5,3,4,2,"Generally safe, but watch out for pickpockets","4,5,9,10"
ebfe4d1b-75c7-4553-af9d-db3a83789ac9,Venice,Italy,Europe,"An iconic city of water, renowned for romantic gondola rides and historic landmarks.",45.435559,12.336196,"[""Short trip"",""Weekend"",""One week""]",Luxury,5,2,3,1,3,5,3,4,2,"Generally safe, but watch out for pickpockets","4,5,9,10"
e7b15eba-eb08-4798-b31c-3497266c5237,Milan,Italy,Europe,"A modern city with an ancient soul, featuring La Scala and the Duomo di Milano.",45.464643,9.18854,"[""Short trip"",""One week""]",Luxury,5,2,2,1,4,5,3,5,2,"Generally safe, but watch out for pickpockets","4,5,9,10"
2c65eb19-c3d9-4717-ba5b-09fa68cfaf7c,Naples,Italy,Europe,"Famous for pizza, Pompeii, and proximity to the Amalfi Coast.",40.85133,14.25472,"[""Short trip"",""One week"",""Weekend""]",Mid-range,5,3,3,3,4,5,3,4,2,"Generally safe, but be aware of pickpockets","4,5,9,10"
4d641577-a603-4c02-b586-dcf71e7d4b2b,Cinque Terre,Italy,Europe,Scenic coastal towns connected by breathtaking hiking trails and beaches.,44.131811,9.653342,"[""Weekend"",""Short trip""]",Mid-range,3,3,5,4,2,4,3,1,4,"Generally safe, but be aware of crowds","4,5,9,10"
a04255a6-b775-4121-8ab3-7f0feb65a025,Pisa,Italy,Europe,"Known for the iconic Leaning Tower of Pisa, as well as its Romanesque architecture.",43.715899,10.996557,"[""Short trip"",""Weekend"",""Day trip""]",Mid-range,4,2,3,2,3,4,3,3,2,Generally safe,"4,5,9,10"
7d1e53d1-bc67-4fef-9dcd-4fd93bac51f4,Verona,Italy,Europe,"Famous for being the setting of ""Romeo and Juliet"" and its well-preserved Roman amphitheater.",45.439559,10.996557,"[""Short trip"",""Weekend""]",Mid-range,5,2,3,1,3,4,3,4,3,Generally safe,"4,5,9,10"
1b303a56-21b9-4b2b-af64-97fcbe20b021,Barcelona,Spain,Europe,"A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",41.385064,2.173135,"[""Short trip"",""One week""]",Mid-range,5,3,3,4,5,5,3,5,2,"Generally safe, but watch out for pickpockets","4,5,9,10"
1e5134e2-8d14-40a1-a387-31e3845706a4,Madrid,Spain,Europe,"Home to the Prado Museum, Royal Palace, and rich Spanish history.",40.416775,-3.70379,"[""Weekend"",""One week"",""Short trip""]",Mid-range,5,3,2,1,5,5,3,5,2,"Generally safe, but be aware of pickpockets","4,5,9,10"
667970d3-0f21-436b-a930-36b76e9bbb64,Seville,Spain,Europe,"The heart of Andalusian culture, with stunning landmarks like the Alcázar and the Seville Cathedral.",37.38908,-5.98398,"[""Weekend"",""One week"",""Short trip""]",Mid-range,5,3,2,1,4,5,3,4,2,"Generally safe, but be aware of pickpockets","4,5,9,10"
4208dedd-8c81-47f9-a5a9-d53a4e3af78e,Valencia,Spain,Europe,"The birthplace of paella, with a mix of futuristic and historic architecture.",39.472925,-0.378464,"[""Weekend"",""One week"",""Short trip""]",Mid-range,4,3,4,4,4,5,3,4,3,"Generally safe, but be aware of pickpockets","4,5,9,10"
edeb35d6-a3bf-43f7-b2ae-b43fdb8e6895,Granada,Spain,Europe,Known for the magnificent Alhambra palace and stunning Moorish architecture.,37.187222,-3.60531,"[""Short trip"",""Weekend"",""One week""]",Mid-range,5,3,3,2,4,5,3,4,2,"Generally safe, but be aware of pickpockets","4,5,9,10"
67d3090f-c4bd-4225-ad1a-cd4d101e657f,Málaga,Spain,Europe,"Birthplace of Picasso, featuring stunning beaches and a lively port.",36.720161,-4.421234,"[""Short trip"",""Weekend"",""One week""]",Mid-range,4,3,3,4,4,4,3,4,2,"Generally safe, but be aware of pickpockets","4,5,9,10"
0cca40d8-f933-43df-9f0c-92fe5b3c4896,Bilbao,Spain,Europe,"An industrial city turned cultural hotspot, home to the iconic Guggenheim Museum.",43.257158,-2.936487,"[""Weekend"",""One week"",""Short trip""]",Mid-range,5,3,3,2,4,4,3,4,2,Generally safe,"4,5,9,10"
22c4c0b1-38a1-4dd3-9d73-2d02e72ebae4,San Sebastián,Spain,Europe,"Renowned for its food scene, with pristine beaches and picturesque Old Town streets.",43.317915,-1.959563,"[""Short trip"",""Weekend"",""One week""]",Mid-range,4,3,3,5,4,5,3,3,2,Generally safe,"4,5,9,10"
920bcde5-3433-4c9b-85ce-0eb026ca2b1c,Paris,France,Europe,"A city of art, fashion, and culture, featuring world-famous landmarks and museums.",48.856614,2.352222,"[""Short trip"",""One week"",""Weekend""]",Luxury,5,2,3,1,5,5,4,5,2,"Generally safe, but watch out for pickpockets","4,5,9,10"
e295c4fb-af0c-469f-8d16-daf2da9c4aa3,Nice,France,Europe,A coastal gem with a beautiful Promenade des Anglais and stunning views of the French Riviera.,43.703761,7.268731,"[""Short trip"",""One week""]",Mid-range,4,3,3,5,4,4,4,4,2,"Generally safe, but be aware of pickpockets","4,5,9,10"
defc2e11-f5e5-431c-bb8a-af6132b7c339,Marseille,France,Europe,"A city rich in history and culture, with a vibrant port and stunning coastal landscapes.",43.296168,5.370254,"[""Short trip"",""Weekend"",""One week""]",Mid-range,4,3,3,3,4,4,3,4,2,"Generally safe, but be aware of pickpockets","4,5,9,10"
d7de7b3c-b5dc-466a-813b-24a71e2320c0,Lyon,France,Europe,"Famous for its gastronomy, vibrant old town, and Renaissance architecture.",45.764048,4.835656,"[""Short trip"",""One week"",""Weekend""]",Mid-range,5,2,3,1,4,5,3,4,2,"Generally safe, but be aware of pickpockets","4,5,9,10"
6ec4a4a3-f8b9-413e-9777-b3c1ab11cdd9,Bordeaux,France,Europe,"Renowned for its vineyards and wine, as well as its charming 18th-century architecture.",44.837789,-0.57918,"[""Short trip"",""Weekend"",""One week""]",Mid-range,4,2,3,2,3,5,3,4,3,"Generally safe, but be aware of pickpockets","4,5,9,10"
71a6e287-3670-488c-ab4b-b12c27d9bbab,Strasbourg,France,Europe,"Located on the border with Germany, Strasbourg has a unique blend of French and German cultures.",48.572935,7.751936,"[""Short trip"",""Weekend"",""One week""]",Mid-range,5,2,3,1,3,4,3,4,3,"Generally safe, but be aware of pickpockets","4,5,9,10"
e3dad871-711e-4a3e-bb87-dba0077a61e3,Cannes,France,Europe,"World-famous for the Cannes Film Festival, featuring stunning views of the Mediterranean Sea.",43.542333,7.02427,"[""Weekend"",""Short trip""]",Luxury,3,2,2,5,5,4,4,4,2,"Generally safe, but be aware of pickpockets","4,5,9,10"
b0b445a8-4b59-44b3-9a6a-caed6a45cb24,Vienna,Austria,Europe,"A cultural capital with imperial architecture, famous museums, and vibrant cafe culture.",48.208171,16.373869,"[""One week"",""Short trip"",""Weekend""]",Mid-range,5,2,3,1,4,5,4,5,2,Generally safe,"4,5,9,10"
00eefe7b-df4e-4d2a-b666-38967f8930e0,Salzburg,Austria,Europe,"A city rich in history, music, and stunning Alpine surroundings, home to the Salzburg Festival.",47.697994,13.040555,"[""Short trip"",""Weekend"",""One week""]",Mid-range,5,3,4,1,3,4,3,3,3,Generally safe,"4,5,9,10"
